epoch,learning_rate,validation_loss_Temperature
0.0,0.002511886414140463,0.002482286486417618
1.0,0.0024868487380445004,0.0020356461272806694
2.0,0.0024620606563985348,0.002902024989912224
3.0,0.002437519608065486,0.0025543613879639576
4.0,0.0024132230319082737,0.002392906688992791
5.0,0.002389168832451105,0.002020768796557717
6.0,0.0023653542157262564,0.0027716577953361002
7.0,0.0023417770862579346,0.00042405232785526123
8.0,0.002318435115739703,0.0021078745770549924
9.0,0.0022953255102038383,0.0022514612516585596
10.0,0.0022724466398358345,0.0018788774696926922
11.0,0.002249795477837324,0.00021238328955531616
12.0,0.002227370161563158,0.00017963821040428967
13.0,0.0022051683627068996,0.0013137797310488278
14.0,0.002183187985792756,0.0006319687000908981
15.0,0.002161426702514291,0.0009480285594439559
16.0,0.0021398821845650673,0.0010183078040094443
17.0,0.0021185525692999363,0.0009840188512132762
18.0,0.0020974355284124613,0.0002059411196257582
19.0,0.0020765287335962057,0.0007180914329115421
20.0,0.0020558307878673077,0.0011613237018032404
21.0,0.0020353386644273996,0.0010425866308062
22.0,0.0020150511991232634,0.0010074077268085705
23.0,0.0019949658308178186,0.0009052156236458629
24.0,0.0019750804640352726,0.0004467341744538716
25.0,0.0019553934689611197,0.0007697353343483624
26.0,0.001935902750119567,0.0006215636806673073
27.0,0.0019166063284501433,0.000365425495698434
28.0,0.0018975022248923779,0.0004084549982288081
29.0,0.0018785884603857994,0.00040444573463915373
30.0,0.0018598632887005806,0.0003808267594815961
31.0,0.0018413247307762504,0.00026833581148594287
32.0,0.0018229709239676595,0.0003373590553104779
33.0,0.0018048001220449805,0.0001967155398195233
34.0,0.0017868105787783861,0.0004893529409213354
35.0,0.0017690001986920834,0.00011263633290557597
36.0,0.0017513673519715667,0.00044677271600349007
37.0,0.001733910059556365,0.0001262494269939366
38.0,0.0017166270408779383,0.00025510497293392687
39.0,0.0016995162004604936,4.650963431928038e-05
40.0,0.0016825760249048471,0.00022696611448629682
41.0,0.0016658046515658498,3.7927607042508706e-05
42.0,0.001649200450628996,0.00017283163972429472
43.0,0.00163276179227978,3.788105586374801e-05
44.0,0.0016164866974577308,7.428006024513767e-05
45.0,0.001600374118424952,3.264044520104358e-05
46.0,0.0015844220761209726,3.0828388540959325e-05
47.0,0.0015686291735619307,4.0364584619043e-05
48.0,0.001552993431687355,2.8285344291204244e-05
49.0,0.0015375136863440275,4.2106229604639175e-05
50.0,0.0015221881913021207,2.4588840206035544e-05
51.0,0.0015070155495777726,2.7044922581149064e-05
52.0,0.001491994014941156,2.2702952149969153e-05
53.0,0.0014771223068237305,2.1767375603306423e-05
54.0,0.0014623987954109907,2.1112696399407772e-05
55.0,0.0014478220837190747,3.721501331090849e-05
56.0,0.0014333907747641206,3.8962654395558836e-05
57.0,0.0014191031223163009,7.475464270695245e-05
58.0,0.0014049578458070755,6.206313515673882e-05
59.0,0.0013909537810832262,0.00011640844908530264
60.0,0.0013770890654996037,8.528299837389908e-05
61.0,0.0013633627677336335,0.00014439529780969432
62.0,0.0013497731415554881,0.00012154747661408967
63.0,0.001336319139227271,0.00015005247032809027
64.0,0.0013229991309344769,0.00013445768117518493
65.0,0.0013098117196932435,0.00014596157067828637
66.0,0.0012967559741809964,0.0001102339653511134
67.0,0.0012838303809985518,0.00013783965512339927
68.0,0.0012710335431620479,5.870397325988816e-05
69.0,0.0012583641801029444,0.00011926560927742292
70.0,0.0012458211276680231,3.1597229455605174e-05
71.0,0.0012334032217040658,0.00010044458065648855
72.0,0.0012211090652272105,1.9561579089564822e-05
73.0,0.0012089373776689172,8.243500672364714e-05
74.0,0.0011968871112912893,1.652100630534677e-05
75.0,0.001184956869110465,6.976333941203003e-05
76.0,0.001173145603388548,1.6602173331326676e-05
77.0,0.0011614520335569978,6.059113338299126e-05
78.0,0.0011498749954625964,1.6648909169487875e-05
79.0,0.0011384134413674474,5.302154891560899e-05
80.0,0.0011270660907030106,1.6863761489950002e-05
81.0,0.0011158318957313895,4.659519277716016e-05
82.0,0.0011047095758840442,1.7356582173919916e-05
83.0,0.0010936981998383999,4.0328428816005956e-05
84.0,0.0010827966034412384,1.8313721419175712e-05
85.0,0.0010720036225393414,3.308451541779313e-05
86.0,0.0010613182093948126,1.9718871244649687e-05
87.0,0.0010507393162697554,2.5258999580762035e-05
88.0,0.0010402657790109515,1.961728098916524e-05
89.0,0.0010298967827111483,1.8628797327001754e-05
90.0,0.0010196310468018055,1.6810465013691663e-05
91.0,0.0010094676399603486,1.7454457614412634e-05
92.0,0.000999405630864203,2.533334652915124e-05
93.0,0.0009894438553601503,3.68166432715228e-05
94.0,0.000979581382125616,3.4473863077077465e-05
95.0,0.0009698172216303647,3.559430251425132e-05
96.0,0.0009601504425518215,3.4487880601194134e-05
97.0,0.0009505799389444292,3.4647154105455754e-05
98.0,0.000941104837693274,3.3862242111259184e-05
99.0,0.0009317242074757814,3.377944745724548e-05
